,month,state,cases_new,cases_recovered,cases_active,cases_unvax,cases_pvax,cases_fvax,cases_boost
0,2020-04,Johor,312,320,8571,312,0,0,0
1,2020-04,Kedah,18,62,822,18,0,0,0
2,2020-04,Kelantan,24,143,1299,24,0,0,0
3,2020-04,Melaka,146,115,2920,146,0,0,0
4,2020-04,Negeri Sembilan,332,313,4055,332,0,0,0
5,2020-04,Pahang,192,199,3436,192,0,0,0
6,2020-04,Perak,64,235,2007,64,0,0,0
7,2020-04,Perlis,5,0,217,5,0,0,0
8,2020-04,Pulau Pinang,27,116,1821,27,0,0,0
9,2020-04,Sabah,109,229,4288,109,0,0,0
10,2020-04,Sarawak,351,219,8260,351,0,0,0
11,2020-04,Selangor,733,871,12692,733,0,0,0
12,2020-04,Terengganu,63,76,2038,63,0,0,0
13,2020-04,W.P. Kuala Lumpur,800,680,12779,800,0,0,0
14,2020-04,W.P. Labuan,6,13,174,6,0,0,0
15,2020-04,W.P. Putrajaya,54,43,903,54,0,0,0
16,2020-05,Johor,12,255,4521,12,0,0,0
17,2020-05,Kedah,1,7,196,1,0,0,0
18,2020-05,Kelantan,1,3,196,1,0,0,0
19,2020-05,Melaka,21,85,1239,21,0,0,0
20,2020-05,Negeri Sembilan,345,351,6369,345,0,0,0
21,2020-05,Pahang,67,81,2101,67,0,0,0
22,2020-05,Perak,3,8,190,3,0,0,0
23,2020-05,Perlis,0,8,48,0,0,0,0
24,2020-05,Pulau Pinang,1,2,64,1,0,0,0
25,2020-05,Sabah,31,76,1228,31,0,0,0
26,2020-05,Sarawak,45,282,3481,45,0,0,0
27,2020-05,Selangor,477,373,10053,477,0,0,0
28,2020-05,Terengganu,1,34,302,1,0,0,0
29,2020-05,W.P. Kuala Lumpur,796,579,13427,796,0,0,0
30,2020-05,W.P. Labuan,0,2,2,0,0,0,0
31,2020-05,W.P. Putrajaya,16,36,479,16,0,0,0
32,2020-06,Johor,16,45,618,16,0,0,0
33,2020-06,Kedah,1,2,83,1,0,0,0
34,2020-06,Kelantan,1,6,93,1,0,0,0
35,2020-06,Melaka,37,46,810,37,0,0,0
36,2020-06,Negeri Sembilan,167,259,3503,167,0,0,0
37,2020-06,Pahang,4,59,765,4,0,0,0
38,2020-06,Perak,2,6,86,2,0,0,0
39,2020-06,Perlis,0,0,0,0,0,0,0
40,2020-06,Pulau Pinang,0,2,34,0,0,0,0
41,2020-06,Sabah,26,38,534,26,0,0,0
42,2020-06,Sarawak,19,29,527,19,0,0,0
43,2020-06,Selangor,138,469,5724,138,0,0,0
44,2020-06,Terengganu,0,0,0,0,0,0,0
45,2020-06,W.P. Kuala Lumpur,408,1027,10887,408,0,0,0
46,2020-06,W.P. Labuan,1,1,15,1,0,0,0
47,2020-06,W.P. Putrajaya,0,12,187,0,0,0,0
48,2020-07,Johor,51,17,432,51,0,0,0
49,2020-07,Kedah,12,4,79,12,0,0,0
50,2020-07,Kelantan,3,4,20,3,0,0,0
51,2020-07,Melaka,2,7,42,2,0,0,0
52,2020-07,Negeri Sembilan,4,45,254,4,0,0,0
53,2020-07,Pahang,5,0,39,5,0,0,0
54,2020-07,Perak,4,0,44,4,0,0,0
55,2020-07,Perlis,1,0,3,1,0,0,0
56,2020-07,Pulau Pinang,0,0,0,0,0,0,0
57,2020-07,Sabah,26,20,250,26,0,0,0
58,2020-07,Sarawak,107,43,1032,107,0,0,0
59,2020-07,Selangor,75,112,1094,75,0,0,0
60,2020-07,Terengganu,3,3,41,3,0,0,0
61,2020-07,W.P. Kuala Lumpur,41,34,318,41,0,0,0
62,2020-07,W.P. Labuan,2,0,11,2,0,0,0
63,2020-07,W.P. Putrajaya,1,1,13,1,0,0,0
64,2020-08,Johor,9,49,407,9,0,0,0
65,2020-08,Kedah,107,63,1623,107,0,0,0
66,2020-08,Kelantan,0,0,0,0,0,0,0
67,2020-08,Melaka,4,1,23,4,0,0,0
68,2020-08,Negeri Sembilan,5,8,51,5,0,0,0
69,2020-08,Pahang,0,5,80,0,0,0,0
70,2020-08,Perak,7,11,96,7,0,0,0
71,2020-08,Perlis,13,12,183,13,0,0,0
72,2020-08,Pulau Pinang,15,9,192,15,0,0,0
73,2020-08,Sabah,19,25,452,19,0,0,0
74,2020-08,Sarawak,21,81,615,21,0,0,0
75,2020-08,Selangor,48,43,690,48,0,0,0
76,2020-08,Terengganu,0,0,0,0,0,0,0
77,2020-08,W.P. Kuala Lumpur,111,98,1299,111,0,0,0
78,2020-08,W.P. Labuan,4,4,79,4,0,0,0
79,2020-08,W.P. Putrajaya,1,1,12,1,0,0,0
