,month,state,deaths_new,deaths_unvax,deaths_pvax,deaths_fvax,deaths_boost
0,2020-04,Johor,6,6,0,0,0
1,2020-04,Kedah,0,0,0,0,0
2,2020-04,Kelantan,1,1,0,0,0
3,2020-04,Melaka,2,2,0,0,0
4,2020-04,Negeri Sembilan,5,5,0,0,0
5,2020-04,Pahang,4,4,0,0,0
6,2020-04,Perak,3,3,0,0,0
7,2020-04,Perlis,1,1,0,0,0
8,2020-04,Pulau Pinang,0,0,0,0,0
9,2020-04,Sabah,3,3,0,0,0
10,2020-04,Sarawak,9,9,0,0,0
11,2020-04,Selangor,11,11,0,0,0
12,2020-04,Terengganu,1,1,0,0,0
13,2020-04,W.P. Kuala Lumpur,9,9,0,0,0
14,2020-04,W.P. Labuan,0,0,0,0,0
15,2020-04,W.P. Putrajaya,0,0,0,0,0
16,2020-05,Johor,1,1,0,0,0
17,2020-05,Kedah,0,0,0,0,0
18,2020-05,Kelantan,0,0,0,0,0
19,2020-05,Melaka,1,1,0,0,0
20,2020-05,Negeri Sembilan,1,1,0,0,0
21,2020-05,Pahang,3,3,0,0,0
22,2020-05,Perak,0,0,0,0,0
23,2020-05,Perlis,0,0,0,0,0
24,2020-05,Pulau Pinang,0,0,0,0,0
25,2020-05,Sabah,1,1,0,0,0
26,2020-05,Sarawak,0,0,0,0,0
27,2020-05,Selangor,4,4,0,0,0
28,2020-05,Terengganu,0,0,0,0,0
29,2020-05,W.P. Kuala Lumpur,1,1,0,0,0
30,2020-05,W.P. Labuan,0,0,0,0,0
31,2020-05,W.P. Putrajaya,0,0,0,0,0
32,2020-06,Johor,1,1,0,0,0
33,2020-06,Kedah,0,0,0,0,0
34,2020-06,Kelantan,0,0,0,0,0
35,2020-06,Melaka,0,0,0,0,0
36,2020-06,Negeri Sembilan,0,0,0,0,0
37,2020-06,Pahang,0,0,0,0,0
38,2020-06,Perak,0,0,0,0,0
39,2020-06,Perlis,0,0,0,0,0
40,2020-06,Pulau Pinang,0,0,0,0,0
41,2020-06,Sabah,2,2,0,0,0
42,2020-06,Sarawak,0,0,0,0,0
43,2020-06,Selangor,2,2,0,0,0
44,2020-06,Terengganu,0,0,0,0,0
45,2020-06,W.P. Kuala Lumpur,1,1,0,0,0
46,2020-06,W.P. Labuan,0,0,0,0,0
47,2020-06,W.P. Putrajaya,0,0,0,0,0
48,2020-07,Johor,1,1,0,0,0
49,2020-07,Kedah,0,0,0,0,0
50,2020-07,Kelantan,0,0,0,0,0
51,2020-07,Melaka,0,0,0,0,0
52,2020-07,Negeri Sembilan,0,0,0,0,0
53,2020-07,Pahang,0,0,0,0,0
54,2020-07,Perak,0,0,0,0,0
55,2020-07,Perlis,0,0,0,0,0
56,2020-07,Pulau Pinang,0,0,0,0,0
57,2020-07,Sabah,1,1,0,0,0
58,2020-07,Sarawak,2,2,0,0,0
59,2020-07,Selangor,0,0,0,0,0
60,2020-07,Terengganu,0,0,0,0,0
61,2020-07,W.P. Kuala Lumpur,0,0,0,0,0
62,2020-07,W.P. Labuan,0,0,0,0,0
63,2020-07,W.P. Putrajaya,0,0,0,0,0
64,2020-08,Johor,0,0,0,0,0
65,2020-08,Kedah,2,2,0,0,0
66,2020-08,Kelantan,0,0,0,0,0
67,2020-08,Melaka,0,1,0,0,0
68,2020-08,Negeri Sembilan,0,0,0,0,0
69,2020-08,Pahang,0,0,0,0,0
70,2020-08,Perak,0,0,0,0,0
71,2020-08,Perlis,0,0,0,0,0
72,2020-08,Pulau Pinang,0,0,0,0,0
73,2020-08,Sabah,0,0,0,0,0
74,2020-08,Sarawak,0,0,0,0,0
75,2020-08,Selangor,0,0,0,0,0
76,2020-08,Terengganu,0,0,0,0,0
77,2020-08,W.P. Kuala Lumpur,0,0,0,0,0
78,2020-08,W.P. Labuan,0,0,0,0,0
79,2020-08,W.P. Putrajaya,0,0,0,0,0
80,2020-09,Johor,0,0,0,0,0
81,2020-09,Kedah,3,3,0,0,0
82,2020-09,Kelantan,0,0,0,0,0
83,2020-09,Melaka,0,0,0,0,0
84,2020-09,Negeri Sembilan,0,0,0,0,0
85,2020-09,Pahang,0,0,0,0,0
86,2020-09,Perak,0,0,0,0,0
87,2020-09,Perlis,0,0,0,0,0
88,2020-09,Pulau Pinang,1,1,0,0,0
89,2020-09,Sabah,5,6,0,0,0
90,2020-09,Sarawak,0,0,0,0,0
91,2020-09,Selangor,0,0,0,0,0
92,2020-09,Terengganu,0,0,0,0,0
93,2020-09,W.P. Kuala Lumpur,0,0,0,0,0
94,2020-09,W.P. Labuan,0,0,0,0,0
95,2020-09,W.P. Putrajaya,0,0,0,0,0
96,2020-10,Johor,0,0,0,0,0
97,2020-10,Kedah,2,2,0,0,0
98,2020-10,Kelantan,0,0,0,0,0
99,2020-10,Melaka,0,0,0,0,0
100,2020-10,Negeri Sembilan,0,0,0,0,0
101,2020-10,Pahang,0,0,0,0,0
102,2020-10,Perak,1,1,0,0,0
103,2020-10,Perlis,0,0,0,0,0
104,2020-10,Pulau Pinang,1,1,0,0,0
105,2020-10,Sabah,118,120,0,0,0
106,2020-10,Sarawak,0,0,0,0,0
107,2020-10,Selangor,2,2,0,0,0
108,2020-10,Terengganu,0,0,0,0,0
109,2020-10,W.P. Kuala Lumpur,1,1,0,0,0
110,2020-10,W.P. Labuan,2,2,0,0,0
111,2020-10,W.P. Putrajaya,0,0,0,0,0
112,2020-11,Johor,1,2,0,0,0
113,2020-11,Kedah,3,3,0,0,0
114,2020-11,Kelantan,0,0,0,0,0
115,2020-11,Melaka,0,0,0,0,0
116,2020-11,Negeri Sembilan,1,1,0,0,0
117,2020-11,Pahang,0,0,0,0,0
118,2020-11,Perak,7,8,0,0,0
119,2020-11,Perlis,0,0,0,0,0
120,2020-11,Pulau Pinang,2,2,0,0,0
121,2020-11,Sabah,78,89,0,0,0
122,2020-11,Sarawak,0,0,0,0,0
123,2020-11,Selangor,1,5,0,0,0
124,2020-11,Terengganu,0,0,0,0,0
125,2020-11,W.P. Kuala Lumpur,0,1,0,0,0
126,2020-11,W.P. Labuan,4,4,0,0,0
127,2020-11,W.P. Putrajaya,0,1,0,0,0
128,2020-12,Johor,13,14,0,0,0
129,2020-12,Kedah,1,1,0,0,0
130,2020-12,Kelantan,5,6,0,0,0
131,2020-12,Melaka,1,1,0,0,0
132,2020-12,Negeri Sembilan,4,4,0,0,0
133,2020-12,Pahang,0,0,0,0,0
134,2020-12,Perak,2,1,0,0,0
135,2020-12,Perlis,0,0,0,0,0
136,2020-12,Pulau Pinang,4,5,0,0,0
137,2020-12,Sabah,55,51,0,0,0
138,2020-12,Sarawak,0,2,0,0,0
139,2020-12,Selangor,18,36,0,0,0
140,2020-12,Terengganu,0,0,0,0,0
141,2020-12,W.P. Kuala Lumpur,3,8,0,0,0
142,2020-12,W.P. Labuan,3,3,0,0,0
143,2020-12,W.P. Putrajaya,2,1,0,0,0
144,2021-01,Johor,32,39,0,0,0
145,2021-01,Kedah,5,7,0,0,0
146,2021-01,Kelantan,4,4,0,0,0
147,2021-01,Melaka,4,8,0,0,0
148,2021-01,Negeri Sembilan,7,15,0,0,0
149,2021-01,Pahang,3,8,0,0,0
150,2021-01,Perak,13,15,0,0,0
151,2021-01,Perlis,0,0,0,0,0
152,2021-01,Pulau Pinang,3,2,0,0,0
153,2021-01,Sabah,59,56,0,0,0
154,2021-01,Sarawak,19,18,0,0,0
155,2021-01,Selangor,110,161,0,0,0
156,2021-01,Terengganu,3,4,0,0,0
157,2021-01,W.P. Kuala Lumpur,21,53,0,0,0
158,2021-01,W.P. Labuan,3,3,0,0,0
159,2021-01,W.P. Putrajaya,3,4,0,0,0
160,2021-02,Johor,29,29,0,0,0
161,2021-02,Kedah,5,5,0,0,0
162,2021-02,Kelantan,8,8,0,0,0
163,2021-02,Melaka,9,6,0,0,0
164,2021-02,Negeri Sembilan,10,4,0,0,0
165,2021-02,Pahang,4,4,0,0,0
166,2021-02,Perak,12,11,0,0,0
167,2021-02,Perlis,0,0,0,0,0
168,2021-02,Pulau Pinang,5,5,0,0,0
169,2021-02,Sabah,49,49,0,0,0
170,2021-02,Sarawak,47,47,0,0,0
171,2021-02,Selangor,131,98,0,0,0
172,2021-02,Terengganu,7,6,0,0,0
173,2021-02,W.P. Kuala Lumpur,56,35,0,0,0
174,2021-02,W.P. Labuan,1,1,0,0,0
175,2021-02,W.P. Putrajaya,2,1,0,0,0
176,2021-03,Johor,9,11,0,0,0
177,2021-03,Kedah,3,3,0,0,0
178,2021-03,Kelantan,3,3,0,0,0
179,2021-03,Melaka,2,2,0,0,0
180,2021-03,Negeri Sembilan,1,2,0,0,0
181,2021-03,Pahang,3,3,0,0,0
182,2021-03,Perak,4,3,0,0,0
183,2021-03,Perlis,0,0,0,0,0
184,2021-03,Pulau Pinang,4,5,0,0,0
185,2021-03,Sabah,19,18,0,0,0
186,2021-03,Sarawak,23,27,1,0,0
187,2021-03,Selangor,45,41,0,0,0
188,2021-03,Terengganu,2,2,0,0,0
189,2021-03,W.P. Kuala Lumpur,19,14,0,0,0
190,2021-03,W.P. Labuan,0,0,0,0,0
191,2021-03,W.P. Putrajaya,0,0,0,0,0
192,2021-04,Johor,13,14,0,0,0
193,2021-04,Kedah,0,0,0,0,0
194,2021-04,Kelantan,17,24,0,0,0
195,2021-04,Melaka,0,0,0,0,0
196,2021-04,Negeri Sembilan,4,6,0,0,0
197,2021-04,Pahang,2,3,0,0,0
198,2021-04,Perak,1,1,0,0,0
199,2021-04,Perlis,0,0,0,0,0
200,2021-04,Pulau Pinang,5,6,0,0,0
201,2021-04,Sabah,43,41,0,0,0
202,2021-04,Sarawak,70,68,0,0,0
203,2021-04,Selangor,52,58,0,0,0
204,2021-04,Terengganu,1,3,0,0,0
205,2021-04,W.P. Kuala Lumpur,26,33,0,0,0
206,2021-04,W.P. Labuan,0,0,0,0,0
207,2021-04,W.P. Putrajaya,0,1,0,0,0
208,2021-05,Johor,170,187,8,0,0
209,2021-05,Kedah,94,120,10,0,0
210,2021-05,Kelantan,81,114,3,0,0
211,2021-05,Melaka,47,56,2,0,0
212,2021-05,Negeri Sembilan,71,82,4,0,0
213,2021-05,Pahang,27,30,1,0,0
214,2021-05,Perak,44,51,2,0,0
215,2021-05,Perlis,2,2,0,0,0
216,2021-05,Pulau Pinang,59,58,6,0,0
217,2021-05,Sabah,35,36,1,0,0
218,2021-05,Sarawak,114,124,7,0,0
219,2021-05,Selangor,386,484,17,0,0
220,2021-05,Terengganu,23,26,2,0,0
221,2021-05,W.P. Kuala Lumpur,127,165,7,0,0
222,2021-05,W.P. Labuan,9,9,4,0,0
223,2021-05,W.P. Putrajaya,1,2,0,0,0
224,2021-06,Johor,288,255,21,0,0
225,2021-06,Kedah,99,86,10,0,0
226,2021-06,Kelantan,102,82,8,1,0
227,2021-06,Melaka,82,67,12,0,0
228,2021-06,Negeri Sembilan,259,274,32,0,0
229,2021-06,Pahang,63,58,6,0,0
230,2021-06,Perak,41,28,5,2,0
231,2021-06,Perlis,4,3,1,0,0
232,2021-06,Pulau Pinang,35,25,5,0,0
233,2021-06,Sabah,75,76,4,0,0
234,2021-06,Sarawak,117,101,8,0,0
